enabled,fallback_name,list_id,idea_list_url
yes,JUNE BEST SELLERS/TOP PICKS,2Q5678F6BP61R,https://www.amazon.com/shop/thehillarystyle/list/2Q5678F6BP61R
yes,OVER 40 & FABULOUS,1GS6BISWIK7UN,https://www.amazon.com/shop/thehillarystyle/list/1GS6BISWIK7UN
yes,FALL,ED3VXSBXPFO5,https://www.amazon.com/shop/thehillarystyle/list/ED3VXSBXPFO5
yes,HALLOWEEN,TOLRF8ZU3T5K,https://www.amazon.com/shop/thehillarystyle/list/TOLRF8ZU3T5K
yes,THE FALL EDIT,IOIVGOQN9X1X,https://www.amazon.com/shop/thehillarystyle/list/IOIVGOQN9X1X
yes,TRANSITIONAL FALL,5MN6DE6JTTK2,https://www.amazon.com/shop/thehillarystyle/list/5MN6DE6JTTK2
yes,UNDER $50 FALL,39FHE4P3M78YV,https://www.amazon.com/shop/thehillarystyle/list/39FHE4P3M78YV
yes,DORM/BACK TO SCHOOL,1DUCBV6BSXOJF,https://www.amazon.com/shop/thehillarystyle/list/1DUCBV6BSXOJF
yes,DATE NIGHT,20Q0HRFOLM3K2,https://www.amazon.com/shop/thehillarystyle/list/20Q0HRFOLM3K2
yes,WORK WEAR,3J2NRGA0NCDGR,https://www.amazon.com/shop/thehillarystyle/list/3J2NRGA0NCDGR
yes,QUIET LUXURY/OLD MONEY,310DHOAQUC0DH,https://www.amazon.com/shop/thehillarystyle/list/310DHOAQUC0DH
yes,AGING BACKWARDS AT 48,174AROJG7VER7,https://www.amazon.com/shop/thehillarystyle/list/174AROJG7VER7
yes,PILATES PRINCESS,3QM5O5E9ELURW,https://www.amazon.com/shop/thehillarystyle/list/3QM5O5E9ELURW
yes,ACTIVEWEAR DRESSES,3GE7XODL0Z5A3,https://www.amazon.com/shop/thehillarystyle/list/3GE7XODL0Z5A3
yes,CREATOR CONNECTIONS HOTTEST FINDS RIGHT NOW,1SLNDA7361JAR,https://www.amazon.com/shop/thehillarystyle/list/1SLNDA7361JAR
yes,RH STYLE,32TSU85USSAQZ,https://www.amazon.com/shop/thehillarystyle/list/32TSU85USSAQZ
yes,RESORT WEAR FASHION,15NDDXZ7X0955,https://www.amazon.com/shop/thehillarystyle/list/15NDDXZ7X0955
yes,THE DRESS SHOPPE,1HHMN64HEUPU9,https://www.amazon.com/shop/thehillarystyle/list/1HHMN64HEUPU9
yes,THE MAXI DRESS EDIT,3CETAKAWP1P7C,https://www.amazon.com/shop/thehillarystyle/list/3CETAKAWP1P7C
yes,ELEVATED SWIMWEAR,20ODL7UVO85YK,https://www.amazon.com/shop/thehillarystyle/list/20ODL7UVO85YK
yes,TRAVEL FASHION,2GR0M7LHWL1O,https://www.amazon.com/shop/thehillarystyle/list/2GR0M7LHWL1O
yes,LUXE JEWELRY AND ACCESSORIES,27BIT6UUHQ198,https://www.amazon.com/shop/thehillarystyle/list/27BIT6UUHQ198
yes,EUROPEAN SUMMER CAPSULE,341JHBPWHDBNK,https://www.amazon.com/shop/thehillarystyle/list/341JHBPWHDBNK
yes,TRAVEL ESSENTIALS LIST,SC6UJV027JAK,https://www.amazon.com/shop/thehillarystyle/list/SC6UJV027JAK
yes,MATCHING SETS,QR27F03IP4AQ,https://www.amazon.com/shop/thehillarystyle/list/QR27F03IP4AQ
yes,MOM STYLE,33RG7LWDINUWO,https://www.amazon.com/shop/thehillarystyle/list/33RG7LWDINUWO
yes,PRIME DAY TOP 100,330I4A3SQ3ERE,https://www.amazon.com/shop/thehillarystyle/list/330I4A3SQ3ERE
yes,PRIME DAY HOME,2DVQFMB8O8SDC,https://www.amazon.com/shop/thehillarystyle/list/2DVQFMB8O8SDC
yes,EARLY PRIME BEAUTY,17SP6THMUJN6E,https://www.amazon.com/shop/thehillarystyle/list/17SP6THMUJN6E
yes,EARLY PRIME FASHION,2LWBTUXIDQYKM,https://www.amazon.com/shop/thehillarystyle/list/2LWBTUXIDQYKM
