list_id,stable_meta_label,current_title,fallback_name,idea_list_url,include_in_meta,first_seen,last_seen,last_changed,last_product_count,product_hash,status
12L5JOTON77WY,IL_12L5JOTON77WY,GADGETS I CANNOT live WITHOUT,See all,https://www.amazon.com/shop/thehillarystyle/list/12L5JOTON77WY,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:36:15-07:00,,38,3b1150daf1436dfb83442bf4dbb3b93b94cb0c18f385fdbd344a55d9ca7016d2,approved_active
12LJ38VR8BIZT,IL_12LJ38VR8BIZT,MY Holiday Styling List,MY Holiday Styling List 22 Items,https://www.amazon.com/shop/thehillarystyle/list/12LJ38VR8BIZT,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:48:41-07:00,,32,78d9dacbbd2dc000c33c0ff886d599ce4cbd745cb1561aa263d315272fe1b863,approved_active
136JGDBOWW0I4,IL_136JGDBOWW0I4,HEALTHY Living,See all,https://www.amazon.com/shop/thehillarystyle/list/136JGDBOWW0I4,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:38:22-07:00,2026-08-05T22:38:22-07:00,74,b8e69c42a8783bc2556a0ffdb1e1b5b22aa32b623394a17e801d9ad67d38549f,approved_active
13866CB1KN3RI,IL_13866CB1KN3RI,NEW HOLIDAY Finds,See all,https://www.amazon.com/shop/thehillarystyle/list/13866CB1KN3RI,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:49:14-07:00,,37,d3dc05692c94d2015aca6d895ae9deee812fd278531b03d64f55383aa719afda,approved_active
13DUABZBTBJVY,IL_13DUABZBTBJVY,MARCH Best Sellers,MARCH Best Sellers 379 Items,https://www.amazon.com/shop/thehillarystyle/list/13DUABZBTBJVY,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:47:41-07:00,2026-08-05T22:47:41-07:00,72,428f18fee2d946fd5cb5cb1b19f177dd6d884cb46fe549d05e92e8a9ef763c24,approved_active
13LSJDYI0DMAZ,IL_13LSJDYI0DMAZ,ELEMENTARY SCHOOL,See all,https://www.amazon.com/shop/thehillarystyle/list/13LSJDYI0DMAZ,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:32:40-07:00,2026-08-04T19:45:25-07:00,55,b209763e9af573bd85bbb53824aebfae43a7b11f2738ad2976df84de9bb35260,approved_active
14615HLXD512Y,IL_14615HLXD512Y,VIRAL Home Gadgets,See all,https://www.amazon.com/shop/thehillarystyle/list/14615HLXD512Y,yes,2026-08-04T12:43:18-07:00,2026-08-05T23:04:01-07:00,2026-08-05T23:04:01-07:00,40,a0ca53be6fa77218e1539e3b9ddc0bbdf1ae0a694268b81138dca73ee0a91aa1,approved_active
15NDDXZ7X0955,IL_15NDDXZ7X0955,RESORT WEAR FASHION,RESORT WEAR FASHION,https://www.amazon.com/shop/thehillarystyle/list/15NDDXZ7X0955,yes,2026-08-04T18:39:33+00:00,2026-08-05T22:53:03-07:00,2026-08-05T22:53:03-07:00,90,558b8a426c102d38a5bf181a063876a3ef031594ba7a0e8032550f62de4a4684,approved_active
16F1ZOLGB573M,IL_16F1ZOLGB573M,PRESCHOOL LITTLES,See all,https://www.amazon.com/shop/thehillarystyle/list/16F1ZOLGB573M,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:52:25-07:00,2026-08-05T22:52:25-07:00,58,616fb9e5b039b81b7460baee0efc209c5de14320222c191ccf7f493551f69b48,approved_active
174AROJG7VER7,IL_174AROJG7VER7,BEAUTY MUST-HAVES,AGING BACKWARDS AT 48,https://www.amazon.com/shop/thehillarystyle/list/174AROJG7VER7,yes,2026-08-04T18:39:33+00:00,2026-08-05T22:25:23-07:00,2026-08-05T22:25:23-07:00,71,e81615cd19480f5658bf89169d9b308e8cb8b53936f0ed10444b8498d3b4aaf8,approved_active
