meta_product_set_name,stable_meta_label,rule_1,rule_2,rule_3,rule_4,rule_5
ATHLETIC DRESSES,IL_3GE7XODL0Z5A3,custom_label_0 equals IL_3GE7XODL0Z5A3,OR custom_label_1 equals IL_3GE7XODL0Z5A3,OR custom_label_2 equals IL_3GE7XODL0Z5A3,OR custom_label_3 equals IL_3GE7XODL0Z5A3,OR custom_label_4 equals IL_3GE7XODL0Z5A3
BEAUTY MUST-HAVES,IL_174AROJG7VER7,custom_label_0 equals IL_174AROJG7VER7,OR custom_label_1 equals IL_174AROJG7VER7,OR custom_label_2 equals IL_174AROJG7VER7,OR custom_label_3 equals IL_174AROJG7VER7,OR custom_label_4 equals IL_174AROJG7VER7
CHIC 2-PIECE SETS,IL_QR27F03IP4AQ,custom_label_0 equals IL_QR27F03IP4AQ,OR custom_label_1 equals IL_QR27F03IP4AQ,OR custom_label_2 equals IL_QR27F03IP4AQ,OR custom_label_3 equals IL_QR27F03IP4AQ,OR custom_label_4 equals IL_QR27F03IP4AQ
CHIC WITHOUT THE SPLURGE TRAVEL,IL_2GR0M7LHWL1O,custom_label_0 equals IL_2GR0M7LHWL1O,OR custom_label_1 equals IL_2GR0M7LHWL1O,OR custom_label_2 equals IL_2GR0M7LHWL1O,OR custom_label_3 equals IL_2GR0M7LHWL1O,OR custom_label_4 equals IL_2GR0M7LHWL1O
DATE NIGHT FASHION,IL_20Q0HRFOLM3K2,custom_label_0 equals IL_20Q0HRFOLM3K2,OR custom_label_1 equals IL_20Q0HRFOLM3K2,OR custom_label_2 equals IL_20Q0HRFOLM3K2,OR custom_label_3 equals IL_20Q0HRFOLM3K2,OR custom_label_4 equals IL_20Q0HRFOLM3K2
DORM ROOM ESSENTIALS,IL_1DUCBV6BSXOJF,custom_label_0 equals IL_1DUCBV6BSXOJF,OR custom_label_1 equals IL_1DUCBV6BSXOJF,OR custom_label_2 equals IL_1DUCBV6BSXOJF,OR custom_label_3 equals IL_1DUCBV6BSXOJF,OR custom_label_4 equals IL_1DUCBV6BSXOJF
EARLY Fall,IL_ED3VXSBXPFO5,custom_label_0 equals IL_ED3VXSBXPFO5,OR custom_label_1 equals IL_ED3VXSBXPFO5,OR custom_label_2 equals IL_ED3VXSBXPFO5,OR custom_label_3 equals IL_ED3VXSBXPFO5,OR custom_label_4 equals IL_ED3VXSBXPFO5
ELEVATED SWIMWEAR,IL_20ODL7UVO85YK,custom_label_0 equals IL_20ODL7UVO85YK,OR custom_label_1 equals IL_20ODL7UVO85YK,OR custom_label_2 equals IL_20ODL7UVO85YK,OR custom_label_3 equals IL_20ODL7UVO85YK,OR custom_label_4 equals IL_20ODL7UVO85YK
EUROPEAN SUMMER,IL_341JHBPWHDBNK,custom_label_0 equals IL_341JHBPWHDBNK,OR custom_label_1 equals IL_341JHBPWHDBNK,OR custom_label_2 equals IL_341JHBPWHDBNK,OR custom_label_3 equals IL_341JHBPWHDBNK,OR custom_label_4 equals IL_341JHBPWHDBNK
HALLOWEEN,IL_TOLRF8ZU3T5K,custom_label_0 equals IL_TOLRF8ZU3T5K,OR custom_label_1 equals IL_TOLRF8ZU3T5K,OR custom_label_2 equals IL_TOLRF8ZU3T5K,OR custom_label_3 equals IL_TOLRF8ZU3T5K,OR custom_label_4 equals IL_TOLRF8ZU3T5K
In MY Travel Bag,IL_SC6UJV027JAK,custom_label_0 equals IL_SC6UJV027JAK,OR custom_label_1 equals IL_SC6UJV027JAK,OR custom_label_2 equals IL_SC6UJV027JAK,OR custom_label_3 equals IL_SC6UJV027JAK,OR custom_label_4 equals IL_SC6UJV027JAK
JUNE TOP PICKS,IL_2Q5678F6BP61R,custom_label_0 equals IL_2Q5678F6BP61R,OR custom_label_1 equals IL_2Q5678F6BP61R,OR custom_label_2 equals IL_2Q5678F6BP61R,OR custom_label_3 equals IL_2Q5678F6BP61R,OR custom_label_4 equals IL_2Q5678F6BP61R
LUXE JEWELRY & ACCESSORIES,IL_27BIT6UUHQ198,custom_label_0 equals IL_27BIT6UUHQ198,OR custom_label_1 equals IL_27BIT6UUHQ198,OR custom_label_2 equals IL_27BIT6UUHQ198,OR custom_label_3 equals IL_27BIT6UUHQ198,OR custom_label_4 equals IL_27BIT6UUHQ198
