list_id,current_title,idea_list_url,include_in_meta,action
12L5JOTON77WY,See all,https://www.amazon.com/shop/thehillarystyle/list/12L5JOTON77WY,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
12LJ38VR8BIZT,MY Holiday Styling List 22 Items,https://www.amazon.com/shop/thehillarystyle/list/12LJ38VR8BIZT,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
136JGDBOWW0I4,See all,https://www.amazon.com/shop/thehillarystyle/list/136JGDBOWW0I4,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
13866CB1KN3RI,See all,https://www.amazon.com/shop/thehillarystyle/list/13866CB1KN3RI,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
13DUABZBTBJVY,MARCH Best Sellers 379 Items,https://www.amazon.com/shop/thehillarystyle/list/13DUABZBTBJVY,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
13LSJDYI0DMAZ,See all,https://www.amazon.com/shop/thehillarystyle/list/13LSJDYI0DMAZ,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
14615HLXD512Y,See all,https://www.amazon.com/shop/thehillarystyle/list/14615HLXD512Y,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
16F1ZOLGB573M,See all,https://www.amazon.com/shop/thehillarystyle/list/16F1ZOLGB573M,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
17ITIHGPTINHX,See all,https://www.amazon.com/shop/thehillarystyle/list/17ITIHGPTINHX,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
181FEP0C2U0RU,See all,https://www.amazon.com/shop/thehillarystyle/list/181FEP0C2U0RU,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
18H5BP5V6EGYM,See all,https://www.amazon.com/shop/thehillarystyle/list/18H5BP5V6EGYM,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
18JLLR8E7X2KU,MY HOLIDAY Home 44 Items,https://www.amazon.com/shop/thehillarystyle/list/18JLLR8E7X2KU,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1BKDYBCCXK5YE,See all,https://www.amazon.com/shop/thehillarystyle/list/1BKDYBCCXK5YE,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1DXRHB098MRMA,See all,https://www.amazon.com/shop/thehillarystyle/list/1DXRHB098MRMA,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1E7EHNK9QTVEH,See all,https://www.amazon.com/shop/thehillarystyle/list/1E7EHNK9QTVEH,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1HZQPC6SSAHFG,See all,https://www.amazon.com/shop/thehillarystyle/list/1HZQPC6SSAHFG,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1I8FQ5LPJG30D,See all,https://www.amazon.com/shop/thehillarystyle/list/1I8FQ5LPJG30D,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
