list_id,old_title,new_title,stable_meta_label,include_in_meta
15NDDXZ7X0955,RESORT WEAR FASHION,See all,IL_15NDDXZ7X0955,yes
174AROJG7VER7,AGING BACKWARDS AT 48,See all,IL_174AROJG7VER7,yes
17SP6THMUJN6E,EARLY PRIME BEAUTY,See all,IL_17SP6THMUJN6E,yes
1DUCBV6BSXOJF,DORM/BACK TO SCHOOL,See all,IL_1DUCBV6BSXOJF,yes
1GS6BISWIK7UN,OVER 40 & FABULOUS,See all,IL_1GS6BISWIK7UN,yes
1HHMN64HEUPU9,THE DRESS SHOPPE,See all,IL_1HHMN64HEUPU9,yes
1SLNDA7361JAR,CREATOR CONNECTIONS HOTTEST FINDS RIGHT NOW,See all,IL_1SLNDA7361JAR,yes
20ODL7UVO85YK,ELEVATED SWIMWEAR,See all,IL_20ODL7UVO85YK,yes
20Q0HRFOLM3K2,DATE NIGHT,See all,IL_20Q0HRFOLM3K2,yes
27BIT6UUHQ198,LUXE JEWELRY AND ACCESSORIES,See all,IL_27BIT6UUHQ198,yes
2DVQFMB8O8SDC,PRIME DAY HOME,See all,IL_2DVQFMB8O8SDC,yes
2GR0M7LHWL1O,TRAVEL FASHION,See all,IL_2GR0M7LHWL1O,yes
2LWBTUXIDQYKM,EARLY PRIME FASHION,See all,IL_2LWBTUXIDQYKM,yes
2Q5678F6BP61R,JUNE BEST SELLERS/TOP PICKS,JUNE TOP PICKS 142 Items,IL_2Q5678F6BP61R,yes
310DHOAQUC0DH,QUIET LUXURY/OLD MONEY,See all,IL_310DHOAQUC0DH,yes
32TSU85USSAQZ,RH STYLE,RH STYLE - Looks like a SPLURGE 244 Items,IL_32TSU85USSAQZ,yes
330I4A3SQ3ERE,PRIME DAY TOP 100,TOP 100+ PRIME DEALS 137 Items,IL_330I4A3SQ3ERE,yes
33RG7LWDINUWO,MOM STYLE,See all,IL_33RG7LWDINUWO,yes
341JHBPWHDBNK,EUROPEAN SUMMER CAPSULE,See all,IL_341JHBPWHDBNK,yes
39FHE4P3M78YV,UNDER $50 FALL,See all,IL_39FHE4P3M78YV,yes
3CETAKAWP1P7C,THE MAXI DRESS EDIT,See all,IL_3CETAKAWP1P7C,yes
3GE7XODL0Z5A3,ACTIVEWEAR DRESSES,ATHLETIC DRESSES 45 Items,IL_3GE7XODL0Z5A3,yes
3J2NRGA0NCDGR,WORK WEAR,See all,IL_3J2NRGA0NCDGR,yes
3QM5O5E9ELURW,PILATES PRINCESS,See all,IL_3QM5O5E9ELURW,yes
5MN6DE6JTTK2,TRANSITIONAL FALL,See all,IL_5MN6DE6JTTK2,yes
ED3VXSBXPFO5,FALL,EARLY Fall 91 Items,IL_ED3VXSBXPFO5,yes
IOIVGOQN9X1X,THE FALL EDIT,See all,IL_IOIVGOQN9X1X,yes
QR27F03IP4AQ,MATCHING SETS,See all,IL_QR27F03IP4AQ,yes
SC6UJV027JAK,TRAVEL ESSENTIALS LIST,See all,IL_SC6UJV027JAK,yes
TOLRF8ZU3T5K,HALLOWEEN,HALLOWEEN 85 Items,IL_TOLRF8ZU3T5K,yes
