list_id,idea_list_name,tracking_id,products_in_idea_list,meta_tracked_instances
17SP6THMUJN6E,TOP 50 BEAUTY,dp-top50beauty101-20,78,78
1GS6BISWIK7UN,OVER 40 & Fabulous HILLARY'S Capsule WARDROBE - Effortless & Chic,dp-over-fourty-20,120,120
1HHMN64HEUPU9,THE DRESS SHOPPE - From BRUNCH to BLACK TIE,dp-dress-shoppe-20,81,81
1K9R04PZQD03N,FALL LOUNGE SETS,dp-lounge-sets-20,30,30
1SLNDA7361JAR,The STYLE EDIT - HOTTEST finds RIGHT NOW!,dp-creator-conn101-20,99,99
20Q0HRFOLM3K2,DATE NIGHT FASHION,dp-datenight101-20,98,98
2B46UO4I7XY3G,KITCHEN Organizing,dp-kitchen-org-20,79,79
2DVQFMB8O8SDC,TOP 100 HOME PICKS,dp-top-100-home-20,119,119
32TSU85USSAQZ,RH STYLE - Looks like a SPLURGE,dp-rh-style101-20,78,78
33RG7LWDINUWO,SPORT MOM Style,dp-momstyle101-20,80,80
341JHBPWHDBNK,EUROPEAN SUMMER,dp-european-fashion-20,99,99
39FHE4P3M78YV,UNDER $50 FALL Capsule,dp-under-50--20,79,79
3QCVRRMTI2TTQ,VIRAL Holiday Finds,dp-viral-holiday-20,80,80
3QM5O5E9ELURW,PILATES PRINCESS,dp-pilates-princess-20,96,96
5MN6DE6JTTK2,TRANSITIONAL Fall Fashion,dp-transitional-fashion-20,79,79
DSS93TBPVRP5,AUGUST TOP PICKS,dp-monthly-top-picks-20,79,79
ED3VXSBXPFO5,EARLY Fall,dp-earlyfalldecor101-20,91,91
IOIVGOQN9X1X,The FALL EDIT,dp-falleditfashion101-20,100,100
Q8UFO5D52NKD,BATHROOM Organization,dp-bathroom-org-20,79,79
QR27F03IP4AQ,CHIC 2-PIECE SETS,dp-matchingsets-20,120,120
TOLRF8ZU3T5K,HALLOWEEN,dp-halloween1-20,85,85
